,Ship Mode,Segment,Market,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
25440,Standard Class,Home Office,US,Furniture,113.888,2,0.2,9.9652,7.43,Medium
25441,Standard Class,Consumer,US,Office Supplies,58.17,5,0.7,-46.536,7.43,High
25442,Same Day,Consumer,US,Furniture,135.3,5,0.0,37.884,7.43,Medium
25443,Standard Class,Corporate,Africa,Office Supplies,51.42,1,0.0,4.62,7.43,Low
25444,First Class,Home Office,EU,Office Supplies,52.53,1,0.0,9.45,7.42,Medium
25445,Standard Class,Consumer,APAC,Technology,102.762,4,0.45,1.842,7.42,Medium
25446,Second Class,Consumer,APAC,Furniture,61.0791,1,0.27,18.3891,7.42,High
25447,Standard Class,Corporate,US,Office Supplies,51.45,3,0.0,13.8915,7.42,High
25448,Standard Class,Consumer,Canada,Technology,277.14,2,0.0,91.44,7.42,Medium
25449,First Class,Corporate,Africa,Office Supplies,60.96,2,0.0,5.46,7.42,Medium
25450,Standard Class,Consumer,LATAM,Furniture,113.46,3,0.0,22.68,7.42,Medium
25451,Second Class,Consumer,LATAM,Technology,51.3084,1,0.402,-19.0516,7.41,High
25452,Second Class,Consumer,LATAM,Technology,110.64,2,0.0,37.6,7.41,High
25453,Standard Class,Home Office,LATAM,Technology,230.05896,2,0.002,24.85896,7.41,Medium
25454,Standard Class,Consumer,EU,Office Supplies,64.2,4,0.0,6.36,7.41,Low
25455,Standard Class,Corporate,EU,Office Supplies,228.825,3,0.1,50.805,7.41,Medium
25456,Same Day,Consumer,EU,Office Supplies,57.96,4,0.0,19.08,7.41,High
25457,Standard Class,Corporate,EU,Office Supplies,30.96,3,0.0,9.54,7.41,Low
25458,Standard Class,Corporate,EU,Office Supplies,144.0,5,0.0,64.8,7.41,Medium
25459,Second Class,Corporate,EU,Office Supplies,92.34,2,0.0,24.0,7.41,Medium
25460,Standard Class,Home Office,EU,Office Supplies,105.57,9,0.0,48.33,7.41,High
25461,Standard Class,Corporate,EU,Office Supplies,70.38,3,0.0,23.85,7.41,Medium
25462,Same Day,Consumer,APAC,Technology,56.052,2,0.4,5.592,7.41,Medium
25463,Standard Class,Corporate,APAC,Furniture,223.074,2,0.1,34.674,7.41,Medium
25464,Standard Class,Corporate,APAC,Office Supplies,122.88,4,0.0,30.72,7.41,Medium
25465,Standard Class,Consumer,APAC,Office Supplies,66.45,5,0.0,33.15,7.41,High
25466,Standard Class,Corporate,APAC,Office Supplies,113.76,6,0.0,6.66,7.41,Medium
25467,Second Class,Consumer,APAC,Office Supplies,81.9,2,0.0,33.54,7.41,Medium
25468,First Class,Consumer,APAC,Office Supplies,37.68,2,0.0,12.78,7.41,High
25469,Second Class,Consumer,US,Office Supplies,106.75,7,0.0,49.105,7.41,Medium
25470,Standard Class,Consumer,US,Office Supplies,83.92,5,0.2,29.372,7.41,Medium
25471,Standard Class,Home Office,US,Furniture,154.764,3,0.4,-46.4292,7.41,Medium
25472,First Class,Consumer,US,Office Supplies,50.784,2,0.2,17.7744,7.41,Medium
25473,Standard Class,Consumer,EMEA,Office Supplies,103.68,2,0.0,15.54,7.41,Medium
25474,Standard Class,Consumer,Africa,Office Supplies,109.38,2,0.0,10.92,7.41,Medium
25475,First Class,Home Office,Canada,Office Supplies,37.2,1,0.0,13.02,7.41,High
25476,Standard Class,Consumer,LATAM,Technology,103.76496,2,0.402,-21.19504,7.4,High
25477,Same Day,Consumer,LATAM,Furniture,60.288,8,0.4,-35.232,7.4,Critical
25478,Second Class,Corporate,EU,Office Supplies,55.14,1,0.0,10.47,7.4,Medium
25479,Second Class,Consumer,EU,Office Supplies,43.497,3,0.1,11.097,7.4,High
25480,Standard Class,Home Office,APAC,Office Supplies,49.608,4,0.47,-26.232,7.4,High
25481,Second Class,Corporate,APAC,Office Supplies,109.8,2,0.0,43.92,7.4,Medium
25482,Standard Class,Consumer,APAC,Office Supplies,81.9,6,0.0,21.96,7.4,High
25483,Standard Class,Home Office,US,Technology,100.0,4,0.0,21.0,7.4,Medium
25484,Same Day,Corporate,US,Office Supplies,33.568,2,0.2,11.7488,7.4,High
25485,Second Class,Consumer,US,Office Supplies,29.36,2,0.0,13.5056,7.4,High
25486,First Class,Consumer,US,Office Supplies,34.5,3,0.0,15.525,7.4,Medium
25487,Standard Class,Corporate,Africa,Office Supplies,109.8,4,0.0,30.72,7.4,Medium
25488,Standard Class,Consumer,EMEA,Technology,58.83,1,0.0,6.45,7.4,High
25489,Standard Class,Corporate,LATAM,Office Supplies,65.36,4,0.0,11.76,7.4,High
25490,Standard Class,Corporate,LATAM,Furniture,141.36,4,0.0,8.48,7.39,Medium
25491,Second Class,Home Office,EU,Office Supplies,88.02,4,0.1,-9.78,7.39,Medium
25492,Second Class,Corporate,EU,Office Supplies,102.54,2,0.0,35.88,7.39,Medium
25493,First Class,Corporate,EU,Furniture,86.535,3,0.5,-77.895,7.39,Medium
25494,First Class,Consumer,EU,Office Supplies,132.03,3,0.1,-10.35,7.39,High
25495,Standard Class,Consumer,EU,Office Supplies,47.025,5,0.5,-32.025,7.39,High
25496,Standard Class,Consumer,EU,Office Supplies,102.84,2,0.0,9.24,7.39,Medium
25497,Standard Class,Consumer,APAC,Office Supplies,182.76,4,0.0,74.88,7.39,Medium
25498,Second Class,Consumer,APAC,Office Supplies,86.496,5,0.47,-66.954,7.39,Medium
25499,Second Class,Consumer,APAC,Office Supplies,94.284,6,0.1,15.624,7.39,Medium
25500,Second Class,Corporate,APAC,Office Supplies,95.364,4,0.1,2.004,7.39,Medium
25501,Second Class,Corporate,APAC,Office Supplies,61.2,5,0.0,21.9,7.39,High
25502,Standard Class,Consumer,APAC,Office Supplies,75.75,5,0.0,23.4,7.39,High
25503,First Class,Consumer,APAC,Technology,49.104,2,0.4,-4.956,7.39,High
25504,Standard Class,Home Office,Africa,Office Supplies,280.44,6,0.0,131.76,7.39,Low
25505,Standard Class,Consumer,EU,Office Supplies,170.37,9,0.0,61.29,7.38,Medium
25506,Standard Class,Corporate,APAC,Furniture,185.0175,3,0.25,-7.4025,7.38,Medium
25507,Standard Class,Consumer,APAC,Furniture,124.092,3,0.1,-2.808,7.38,High
25508,First Class,Consumer,APAC,Office Supplies,96.0,2,0.0,0.96,7.38,Medium
25509,Standard Class,Corporate,APAC,Furniture,102.024,4,0.4,-15.336,7.38,Medium
25510,Standard Class,Corporate,US,Office Supplies,44.91,6,0.7,-35.928,7.38,High
25511,Second Class,Corporate,US,Technology,49.08,3,0.0,4.908,7.38,High
25512,Standard Class,Corporate,US,Technology,304.776,3,0.2,22.8582,7.38,Medium
25513,First Class,Consumer,US,Office Supplies,33.29,1,0.0,7.9896,7.38,High
25514,Standard Class,Consumer,US,Furniture,63.552,6,0.6,-34.9536,7.38,Medium
25515,Standard Class,Corporate,US,Furniture,120.96,2,0.4,-28.224,7.38,Medium
25516,Standard Class,Consumer,Africa,Office Supplies,96.84,2,0.0,29.04,7.38,Medium
25517,First Class,Corporate,LATAM,Office Supplies,41.58,7,0.0,0.7,7.38,High
25518,Standard Class,Consumer,LATAM,Technology,94.34192,1,0.602,-140.33808,7.37,Medium
25519,Standard Class,Consumer,LATAM,Furniture,177.888,4,0.4,-38.592,7.37,Medium
25520,Standard Class,Corporate,EU,Technology,74.22,2,0.0,11.1,7.37,High
25521,Second Class,Consumer,EU,Office Supplies,97.632,3,0.4,-3.258,7.37,Medium
25522,Standard Class,Consumer,EU,Office Supplies,104.04,6,0.0,28.08,7.37,Medium
25523,Standard Class,Consumer,APAC,Office Supplies,216.27,9,0.1,28.62,7.37,Medium
25524,Standard Class,Consumer,APAC,Office Supplies,103.275,3,0.1,43.605,7.37,High
25525,Standard Class,Corporate,US,Office Supplies,200.984,7,0.2,62.8075,7.37,Medium
25526,Standard Class,Consumer,US,Furniture,69.008,2,0.2,12.0764,7.37,High
25527,Same Day,Consumer,US,Office Supplies,36.544,2,0.2,11.8768,7.37,Medium
25528,Standard Class,Consumer,US,Technology,55.76,4,0.0,7.8064,7.37,High
25529,First Class,Home Office,Africa,Office Supplies,24.36,1,0.0,9.72,7.37,Critical
25530,Standard Class,Consumer,LATAM,Office Supplies,98.82,3,0.0,6.9,7.37,High
25531,Standard Class,Consumer,LATAM,Office Supplies,143.22,7,0.0,27.16,7.36,Medium
25532,First Class,Home Office,EU,Office Supplies,82.8,6,0.0,6.48,7.36,Medium
25533,Second Class,Consumer,EU,Office Supplies,134.1,3,0.0,25.47,7.36,Medium
25534,Standard Class,Consumer,EU,Office Supplies,248.022,2,0.1,8.262,7.36,Medium
25535,Standard Class,Corporate,EU,Office Supplies,72.765,3,0.5,-26.235,7.36,Medium
25536,Standard Class,Consumer,EU,Office Supplies,76.95,3,0.1,0.0,7.36,Medium
25537,Standard Class,Consumer,APAC,Technology,97.2345,1,0.17,25.7445,7.36,Medium
25538,Standard Class,Home Office,APAC,Office Supplies,135.03,7,0.0,53.97,7.36,Medium
25539,Standard Class,Consumer,US,Office Supplies,58.05,3,0.0,26.703,7.36,High
25540,Same Day,Consumer,US,Furniture,79.384,1,0.2,29.769,7.36,High
25541,Standard Class,Corporate,US,Technology,160.0,8,0.0,62.4,7.36,Medium
25542,Standard Class,Home Office,EMEA,Furniture,170.19,1,0.0,64.65,7.36,Medium
25543,First Class,Corporate,EMEA,Office Supplies,199.08,4,0.0,55.68,7.36,High
25544,Standard Class,Consumer,Africa,Office Supplies,75.06,6,0.7,-145.26,7.36,Low
25545,Standard Class,Corporate,Africa,Office Supplies,112.92,2,0.0,28.2,7.36,High
25546,First Class,Corporate,Africa,Furniture,50.4,2,0.0,15.6,7.36,Medium
25547,Standard Class,Consumer,LATAM,Furniture,131.64,3,0.0,17.1,7.36,High
25548,Standard Class,Consumer,LATAM,Furniture,133.272,9,0.6,-126.648,7.36,Medium
25549,Standard Class,Home Office,LATAM,Technology,105.14036,1,0.402,-7.39964,7.35,Medium
25550,Standard Class,Consumer,LATAM,Office Supplies,67.92,6,0.0,0.0,7.35,Medium
25551,Standard Class,Consumer,EU,Technology,129.06,3,0.0,46.44,7.35,Medium
25552,Standard Class,Corporate,EU,Office Supplies,84.672,3,0.4,-1.458,7.35,Medium
25553,Standard Class,Corporate,EU,Office Supplies,489.96,4,0.4,-114.36,7.35,Medium
25554,Standard Class,Consumer,EU,Office Supplies,68.04,6,0.0,32.58,7.35,High
25555,Standard Class,Home Office,EU,Office Supplies,61.128,4,0.4,-14.352,7.35,Low
25556,Standard Class,Consumer,EU,Office Supplies,316.035,3,0.5,-158.085,7.35,Medium
25557,Standard Class,Consumer,APAC,Office Supplies,59.22,2,0.0,5.28,7.35,Low
25558,Standard Class,Home Office,APAC,Office Supplies,77.6133,3,0.17,-13.1067,7.35,Medium
25559,First Class,Home Office,APAC,Office Supplies,48.7812,4,0.47,-41.4588,7.35,High
25560,Standard Class,Consumer,APAC,Technology,130.32,3,0.0,22.14,7.35,Medium
25561,Second Class,Consumer,Africa,Office Supplies,60.876,4,0.7,-77.124,7.35,High
25562,Standard Class,Home Office,Africa,Furniture,76.2,4,0.0,28.08,7.35,Low
25563,Standard Class,Corporate,Canada,Furniture,95.28,4,0.0,11.4,7.35,Medium
25564,Standard Class,Consumer,Africa,Furniture,122.04,1,0.0,28.05,7.35,Medium
25565,Second Class,Consumer,Africa,Office Supplies,62.199,1,0.7,-91.251,7.35,Medium
25566,Standard Class,Consumer,LATAM,Office Supplies,82.548,3,0.4,-27.552,7.34,Medium
25567,Standard Class,Consumer,LATAM,Office Supplies,101.8,5,0.0,10.1,7.34,Medium
25568,Standard Class,Corporate,EU,Office Supplies,50.94,2,0.0,13.2,7.34,High
25569,First Class,Home Office,EU,Furniture,45.576,3,0.2,9.036,7.34,Medium
25570,Standard Class,Home Office,EU,Furniture,258.0,5,0.6,-309.6,7.34,Medium
25571,Second Class,Consumer,EU,Technology,61.44,2,0.0,18.42,7.34,Medium
25572,First Class,Consumer,EU,Office Supplies,42.24,2,0.0,6.72,7.34,High
25573,First Class,Consumer,APAC,Office Supplies,55.6017,1,0.17,0.6417,7.34,High
25574,Standard Class,Home Office,APAC,Office Supplies,45.225,5,0.1,17.475,7.34,High
25575,Standard Class,Corporate,APAC,Office Supplies,75.24,6,0.0,11.88,7.34,Medium
25576,Second Class,Corporate,APAC,Office Supplies,55.08,5,0.1,4.83,7.34,High
25577,Standard Class,Consumer,APAC,Office Supplies,99.21,1,0.5,-69.45,7.34,Medium
25578,Standard Class,Consumer,APAC,Furniture,58.6044,4,0.27,18.4044,7.34,High
25579,First Class,Home Office,APAC,Office Supplies,87.48,4,0.4,-39.48,7.34,Medium
25580,First Class,Corporate,US,Furniture,97.424,2,0.2,10.9602,7.34,Medium
25581,Standard Class,Consumer,EMEA,Furniture,235.536,14,0.6,-58.884,7.34,Medium
25582,Standard Class,Home Office,Africa,Office Supplies,128.16,8,0.0,5.04,7.34,Low
25583,Standard Class,Home Office,EMEA,Office Supplies,42.24,2,0.0,6.72,7.34,High
25584,Standard Class,Consumer,EMEA,Office Supplies,127.89,1,0.0,15.33,7.34,Low
25585,Second Class,Corporate,Africa,Technology,169.92,2,0.0,73.02,7.34,Medium
25586,Standard Class,Home Office,Africa,Office Supplies,109.32,4,0.0,14.16,7.34,Medium
25587,Second Class,Corporate,LATAM,Office Supplies,67.28,2,0.0,29.6,7.34,High
25588,First Class,Corporate,LATAM,Office Supplies,93.18,3,0.0,27.0,7.34,Medium
25589,Standard Class,Corporate,LATAM,Office Supplies,148.224,8,0.4,-32.256,7.34,Medium
25590,Standard Class,Consumer,LATAM,Furniture,100.22,1,0.0,41.08,7.33,Medium
25591,Standard Class,Corporate,LATAM,Office Supplies,83.34,3,0.0,30.0,7.33,Medium
25592,Standard Class,Corporate,LATAM,Furniture,162.12,2,0.0,47.0,7.33,Medium
25593,Same Day,Home Office,LATAM,Furniture,36.12,3,0.6,-50.58,7.33,Critical
25594,Standard Class,Home Office,EU,Office Supplies,75.96,4,0.0,6.0,7.33,Medium
25595,Standard Class,Corporate,EU,Office Supplies,60.48,4,0.0,21.72,7.33,Medium
25596,Second Class,Consumer,EU,Furniture,52.83,3,0.0,26.37,7.33,Medium
25597,Second Class,Home Office,EU,Office Supplies,73.53,3,0.0,29.34,7.33,High
25598,Standard Class,Consumer,EU,Furniture,83.088,4,0.6,-87.312,7.33,Medium
25599,Second Class,Consumer,EU,Technology,66.57,1,0.0,29.28,7.33,High
25600,Second Class,Corporate,EU,Office Supplies,84.375,5,0.1,33.675,7.33,High
25601,Standard Class,Home Office,APAC,Office Supplies,160.356,2,0.17,-19.344,7.33,Medium
25602,Standard Class,Consumer,APAC,Office Supplies,140.22,3,0.0,42.03,7.33,Medium
25603,Standard Class,Consumer,US,Technology,179.95,5,0.0,37.7895,7.33,Medium
25604,Standard Class,Consumer,US,Furniture,103.056,3,0.2,24.4758,7.33,Medium
25605,Standard Class,Corporate,Africa,Technology,74.52,1,0.0,5.94,7.33,Medium
25606,Same Day,Consumer,EMEA,Office Supplies,56.652,1,0.6,-48.168,7.33,Medium
25607,Standard Class,Corporate,LATAM,Office Supplies,168.2,5,0.0,74.0,7.33,Medium
25608,Standard Class,Home Office,LATAM,Office Supplies,55.92,3,0.0,24.0,7.33,Medium
25609,Standard Class,Consumer,LATAM,Technology,79.5,3,0.0,1.56,7.32,Medium
25610,Standard Class,Consumer,EU,Office Supplies,98.4,2,0.0,42.3,7.32,Medium
25611,Second Class,Home Office,EU,Office Supplies,54.24,4,0.0,11.88,7.32,Medium
25612,Standard Class,Corporate,EU,Office Supplies,106.56,4,0.0,9.48,7.32,Medium
25613,Standard Class,Consumer,EU,Office Supplies,97.56,6,0.0,48.78,7.32,Medium
25614,Same Day,Corporate,APAC,Office Supplies,67.77,2,0.1,4.47,7.32,High
25615,First Class,Consumer,APAC,Office Supplies,90.9,6,0.0,28.08,7.32,High
25616,Standard Class,Consumer,APAC,Office Supplies,50.94,3,0.0,17.28,7.32,Medium
25617,Standard Class,Consumer,APAC,Office Supplies,70.95,5,0.0,17.7,7.32,Low
25618,Standard Class,Corporate,APAC,Furniture,104.706,2,0.1,19.746,7.32,Medium
25619,Second Class,Corporate,APAC,Technology,727.6878,6,0.37,-254.2122,7.32,Medium
25620,Second Class,Consumer,US,Technology,135.516,1,0.4,-31.6204,7.32,Medium
25621,Standard Class,Consumer,US,Office Supplies,121.96,2,0.0,57.3212,7.32,Medium
25622,Standard Class,Consumer,Africa,Office Supplies,95.28,2,0.0,46.68,7.32,Medium
25623,Second Class,Corporate,Africa,Furniture,56.73,1,0.0,19.26,7.32,Critical
25624,Standard Class,Consumer,EMEA,Furniture,83.91,1,0.0,15.09,7.32,Medium
25625,Standard Class,Home Office,Africa,Office Supplies,207.12,4,0.0,76.56,7.32,Medium
25626,First Class,Consumer,Africa,Office Supplies,34.8,2,0.0,3.12,7.32,High
25627,Same Day,Home Office,EMEA,Office Supplies,35.76,2,0.6,-36.66,7.32,Medium
25628,Standard Class,Consumer,EMEA,Office Supplies,49.5,1,0.0,16.32,7.32,High
25629,First Class,Consumer,EMEA,Office Supplies,32.1,2,0.0,3.18,7.32,Critical
25630,Standard Class,Consumer,LATAM,Technology,107.448,2,0.7,-121.792,7.32,Medium
25631,Standard Class,Consumer,LATAM,Office Supplies,105.18,3,0.0,49.38,7.32,Medium
25632,First Class,Corporate,LATAM,Office Supplies,29.98,1,0.0,10.18,7.32,Critical
25633,Standard Class,Home Office,LATAM,Office Supplies,101.94,5,0.4,-52.76,7.32,Medium
25634,Standard Class,Corporate,LATAM,Technology,97.12,2,0.0,39.8,7.31,Medium
25635,Second Class,Corporate,LATAM,Technology,74.8,1,0.0,28.42,7.31,High
25636,First Class,Corporate,EU,Office Supplies,49.44,4,0.0,4.92,7.31,Medium
25637,First Class,Corporate,EU,Office Supplies,132.3,6,0.0,23.76,7.31,High
25638,First Class,Consumer,EU,Office Supplies,33.93,2,0.5,-6.15,7.31,Medium
25639,Standard Class,Consumer,APAC,Technology,121.2534,2,0.47,-73.2666,7.31,Medium
25640,Standard Class,Consumer,US,Office Supplies,72.784,1,0.2,-18.196,7.31,Medium
25641,Second Class,Corporate,Africa,Office Supplies,102.72,2,0.0,19.5,7.31,Medium
25642,First Class,Corporate,Africa,Office Supplies,39.0,1,0.0,4.68,7.31,Medium
25643,Standard Class,Consumer,Africa,Office Supplies,122.58,2,0.0,42.9,7.31,Medium
25644,Standard Class,Consumer,Africa,Office Supplies,109.32,4,0.0,14.16,7.31,Medium
25645,Second Class,Corporate,EU,Office Supplies,49.56,2,0.0,15.84,7.3,High
25646,Standard Class,Home Office,EU,Office Supplies,169.344,6,0.4,-2.916,7.3,Medium
25647,Standard Class,Consumer,EU,Furniture,440.28,3,0.0,127.62,7.3,Medium
25648,Standard Class,Home Office,EU,Technology,135.96,2,0.0,12.18,7.3,Medium
25649,Standard Class,Home Office,EU,Technology,146.4,2,0.0,7.32,7.3,Medium
25650,Standard Class,Consumer,APAC,Technology,171.99,3,0.0,6.84,7.3,Medium
25651,Standard Class,Home Office,APAC,Furniture,135.09,1,0.25,-39.63,7.3,Medium
25652,Standard Class,Consumer,US,Technology,107.982,3,0.4,-26.9955,7.3,Medium
25653,Standard Class,Consumer,US,Furniture,71.12,4,0.0,22.0472,7.3,Medium
25654,Standard Class,Corporate,Africa,Office Supplies,73.02,2,0.0,10.92,7.3,Medium
25655,Standard Class,Corporate,Africa,Office Supplies,99.0,6,0.0,40.5,7.3,Medium
25656,Standard Class,Consumer,LATAM,Technology,87.732,3,0.4,-45.348,7.3,Medium
25657,Standard Class,Consumer,LATAM,Office Supplies,74.016,3,0.4,-35.784,7.3,Medium
25658,Standard Class,Corporate,LATAM,Office Supplies,89.76,3,0.0,41.28,7.29,Medium
25659,Second Class,Corporate,EU,Office Supplies,46.74,2,0.5,-2.82,7.29,High
25660,Second Class,Consumer,EU,Office Supplies,40.32,4,0.5,-36.36,7.29,High
25661,Standard Class,Consumer,EU,Office Supplies,187.029,1,0.1,70.629,7.29,Medium
25662,Standard Class,Home Office,EU,Office Supplies,102.384,2,0.1,-10.296,7.29,Medium
25663,Standard Class,Corporate,EU,Office Supplies,164.34,6,0.0,54.18,7.29,Medium
25664,Second Class,Consumer,EU,Office Supplies,73.56,4,0.0,3.6,7.29,Medium
25665,Standard Class,Consumer,APAC,Technology,82.161,1,0.1,12.771,7.29,Medium
25666,Standard Class,Corporate,APAC,Office Supplies,151.68,8,0.0,8.88,7.29,Medium
25667,Standard Class,Consumer,APAC,Technology,143.1,2,0.0,9.96,7.29,Medium
25668,Standard Class,Home Office,US,Office Supplies,87.168,2,0.2,8.7168,7.29,Medium
25669,Standard Class,Corporate,LATAM,Office Supplies,71.04,8,0.0,0.64,7.29,Medium
25670,Second Class,Home Office,LATAM,Office Supplies,72.32,2,0.0,14.44,7.29,High
25671,Second Class,Consumer,LATAM,Office Supplies,52.22,7,0.0,2.52,7.29,High
25672,First Class,Home Office,LATAM,Technology,56.64,3,0.0,23.22,7.28,High
25673,Standard Class,Corporate,LATAM,Office Supplies,53.84,4,0.0,4.24,7.28,High
25674,Second Class,Consumer,EU,Office Supplies,85.14,3,0.0,4.23,7.28,Medium
25675,First Class,Corporate,EU,Office Supplies,42.039,3,0.1,16.749,7.28,Medium
25676,Standard Class,Corporate,EU,Office Supplies,256.8,5,0.0,48.75,7.28,Medium
25677,Second Class,Consumer,EU,Office Supplies,67.41,3,0.0,0.0,7.28,High
25678,Standard Class,Corporate,EU,Technology,163.38,2,0.0,13.02,7.28,Medium
25679,Standard Class,Consumer,APAC,Office Supplies,104.166,2,0.1,10.386,7.28,Medium
25680,Standard Class,Home Office,APAC,Office Supplies,76.32,2,0.0,29.76,7.28,Medium
25681,Same Day,Consumer,APAC,Office Supplies,56.214,2,0.1,10.614,7.28,Medium
25682,Standard Class,Consumer,US,Office Supplies,53.424,3,0.2,4.6746,7.28,Low
25683,Standard Class,Consumer,EMEA,Technology,100.872,2,0.6,-108.468,7.28,Medium
25684,Standard Class,Consumer,Africa,Office Supplies,50.34,1,0.0,3.0,7.28,High
25685,Same Day,Corporate,Africa,Office Supplies,47.1,1,0.0,13.65,7.28,Medium
25686,Second Class,Corporate,Africa,Furniture,142.83,1,0.0,41.4,7.28,High
25687,Second Class,Consumer,Africa,Office Supplies,40.62,2,0.0,13.38,7.28,High
25688,Second Class,Consumer,Africa,Office Supplies,30.45,1,0.0,15.21,7.28,High
25689,First Class,Corporate,LATAM,Office Supplies,40.98,3,0.0,18.84,7.28,Medium
25690,Standard Class,Consumer,LATAM,Office Supplies,330.24,4,0.4,22.0,7.28,Medium
25691,Standard Class,Home Office,LATAM,Office Supplies,92.64,3,0.0,24.96,7.27,Medium
25692,Second Class,Consumer,LATAM,Office Supplies,50.26,7,0.0,4.48,7.27,High
25693,First Class,Corporate,EU,Office Supplies,33.075,5,0.5,-11.925,7.27,Medium
25694,First Class,Consumer,EU,Office Supplies,46.44,3,0.0,12.96,7.27,Medium
25695,Standard Class,Corporate,EU,Furniture,119.64,2,0.0,25.08,7.27,Medium
25696,Standard Class,Corporate,APAC,Office Supplies,82.593,7,0.1,9.093,7.27,Medium
25697,Standard Class,Home Office,APAC,Office Supplies,59.58,2,0.0,6.54,7.27,High
25698,Standard Class,Consumer,APAC,Technology,59.25,1,0.0,10.05,7.27,High
25699,First Class,Home Office,APAC,Office Supplies,81.99,3,0.0,31.95,7.27,High
25700,Second Class,Home Office,US,Furniture,82.64,2,0.0,7.4376,7.27,Medium
25701,First Class,Consumer,EMEA,Office Supplies,46.23,1,0.0,19.41,7.27,Medium
25702,Standard Class,Corporate,EMEA,Office Supplies,180.432,14,0.6,-126.588,7.27,Medium
25703,Standard Class,Home Office,Africa,Technology,163.68,4,0.0,24.48,7.27,Medium
25704,Standard Class,Consumer,LATAM,Furniture,141.144,3,0.6,-137.616,7.27,Medium
25705,Second Class,Consumer,LATAM,Office Supplies,162.2,5,0.0,30.8,7.27,Medium
25706,Standard Class,Consumer,LATAM,Office Supplies,104.76,6,0.0,3.12,7.27,Medium
25707,Standard Class,Consumer,EU,Office Supplies,119.52,4,0.0,3.48,7.26,Medium
25708,Standard Class,Consumer,EU,Technology,386.37,6,0.1,-25.83,7.26,High
25709,Second Class,Consumer,EU,Office Supplies,23.91,1,0.0,1.17,7.26,High
25710,Standard Class,Consumer,APAC,Office Supplies,98.85,1,0.0,42.48,7.26,Low
25711,Standard Class,Consumer,APAC,Office Supplies,80.2314,3,0.47,-18.2286,7.26,Medium
25712,Standard Class,Consumer,APAC,Office Supplies,113.0697,3,0.27,16.9497,7.26,Medium
25713,Standard Class,Home Office,APAC,Office Supplies,101.64,7,0.0,33.39,7.26,Medium
25714,Standard Class,Home Office,APAC,Office Supplies,152.46,8,0.45,-58.26,7.26,Medium
25715,Second Class,Consumer,APAC,Furniture,35.892,1,0.4,-0.618,7.26,Critical
25716,Second Class,Consumer,APAC,Furniture,75.6,4,0.4,3.72,7.26,Medium
25717,Standard Class,Consumer,US,Technology,84.95,5,0.0,22.087,7.26,Medium
25718,Standard Class,Consumer,US,Office Supplies,102.624,3,0.2,7.6968,7.26,Medium
25719,Standard Class,Consumer,US,Office Supplies,151.62,7,0.0,50.0346,7.26,Medium
25720,Standard Class,Consumer,EMEA,Office Supplies,107.7,10,0.0,46.2,7.26,Medium
25721,Standard Class,Consumer,EMEA,Office Supplies,59.1,2,0.0,0.0,7.26,High
25722,Standard Class,Home Office,LATAM,Office Supplies,84.6,5,0.0,21.9,7.26,Low
25723,Standard Class,Corporate,LATAM,Technology,82.69428,1,0.002,36.27428,7.26,Medium
25724,Standard Class,Corporate,LATAM,Office Supplies,37.98,3,0.0,6.42,7.25,High
25725,Standard Class,Corporate,EU,Office Supplies,115.8,5,0.5,-55.65,7.25,Medium
25726,Second Class,Consumer,EU,Office Supplies,43.65,3,0.0,9.54,7.25,High
25727,Standard Class,Corporate,APAC,Office Supplies,75.006,3,0.1,25.776,7.25,High
25728,Standard Class,Consumer,APAC,Office Supplies,142.2,6,0.0,32.58,7.25,Medium
25729,First Class,Consumer,APAC,Office Supplies,27.6888,2,0.17,-2.6712,7.25,High
25730,Standard Class,Consumer,US,Office Supplies,49.12,4,0.0,23.0864,7.25,High
25731,Standard Class,Consumer,Africa,Office Supplies,92.34,2,0.0,24.0,7.25,Medium
25732,Standard Class,Home Office,EMEA,Office Supplies,123.24,4,0.0,34.44,7.25,Medium
25733,Standard Class,Consumer,LATAM,Office Supplies,55.24,5,0.6,-55.26,7.25,Low
25734,Standard Class,Home Office,LATAM,Office Supplies,53.82,3,0.0,19.32,7.25,High
25735,Second Class,Corporate,LATAM,Office Supplies,97.92,3,0.0,46.98,7.24,Medium
25736,First Class,Corporate,LATAM,Office Supplies,52.56,4,0.0,4.16,7.24,Medium
25737,Standard Class,Home Office,LATAM,Office Supplies,68.736,8,0.2,4.256,7.24,Medium
25738,First Class,Home Office,EU,Office Supplies,158.76,3,0.0,72.99,7.24,Medium
25739,Same Day,Home Office,EU,Office Supplies,22.47,1,0.0,0.0,7.24,Critical
25740,First Class,Corporate,EU,Office Supplies,21.96,2,0.0,9.0,7.24,Medium
25741,Second Class,Consumer,APAC,Office Supplies,71.28,8,0.0,1.92,7.24,Medium
25742,Second Class,Consumer,APAC,Office Supplies,71.73,3,0.0,9.27,7.24,Medium
25743,First Class,Corporate,APAC,Office Supplies,59.6604,4,0.17,20.7804,7.24,Medium
25744,Standard Class,Consumer,APAC,Office Supplies,52.86,2,0.0,12.12,7.24,Medium
25745,Standard Class,Corporate,US,Furniture,67.176,1,0.4,-20.1528,7.24,High
25746,Second Class,Corporate,EMEA,Office Supplies,75.888,6,0.6,-36.072,7.24,High
25747,Standard Class,Consumer,Africa,Technology,124.29,1,0.0,42.24,7.24,Medium
